home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
Coreia do Sul,Equador,19.647,28.581,51.772,13.876,17.708,11.462,5.278,1.86,9.291,11.717,7.706,3.479,1.185,3.272,4.058,2.623,1.238,0.409,0.818,0.95,0.65,0.343,0.11,0.144,0.178,0.133,0.071,0.021
Coreia do Sul,Costa do Marfim,43.752,26.998,29.25,9.074,9.397,5.077,1.798,0.483,12.071,12.565,6.629,2.461,0.666,7.962,8.495,4.533,1.534,0.446,3.801,3.914,2.04,0.755,0.233,1.378,1.487,0.763,0.27,0.068
Coreia do Sul,Curaçao,66.943,19.343,13.714,5.37,4.39,1.851,0.556,0.118,11.151,9.148,3.663,1.045,0.248,11.452,9.447,3.923,1.193,0.281,8.382,6.622,2.769,0.806,0.196,4.416,3.575,1.568,0.434,0.095
Coreia do Sul,Países Baixos,13.596,17.349,69.055,3.713,8.332,9.74,7.891,4.862,3.445,7.905,9.209,7.448,4.553,1.707,3.704,4.359,3.571,2.161,0.558,1.259,1.443,1.184,0.743,0.126,0.32,0.396,0.305,0.171
Coreia do Sul,Japão,14.607,18.563,66.83,4.447,9.674,10.602,7.886,4.49,4.028,8.751,9.606,6.968,3.937,1.964,4.013,4.245,3.211,1.803,0.612,1.297,1.413,0.946,0.606,0.147,0.307,0.315,0.222,0.159
Coreia do Sul,Tunísia,38.669,28.702,32.629,11.051,11.107,6.126,2.168,0.592,12.508,12.847,6.906,2.458,0.702,7.443,7.574,4.162,1.508,0.373,2.971,3.123,1.623,0.593,0.161,0.944,0.961,0.539,0.166,0.046
Coreia do Sul,Suécia,37.841,22.101,40.058,3.302,5.531,4.945,2.817,1.323,5.476,9.181,8.005,4.731,2.165,4.609,7.712,6.727,3.993,1.82,2.637,4.378,3.841,2.378,1.04,1.202,1.924,1.723,1.029,0.45
Coreia do Sul,Bélgica,18.905,22.085,59.01,6.327,11.406,10.266,6.613,3.16,5.801,10.301,9.504,6.026,2.775,2.732,5.061,4.477,2.868,1.39,0.825,1.603,1.408,0.892,0.439,0.209,0.361,0.383,0.221,0.079
Coreia do Sul,Egito,38.559,27.471,33.97,9.432,10.621,6.141,2.388,0.665,11.474,12.671,7.224,2.909,0.872,6.982,7.917,4.537,1.73,0.529,3.041,3.334,1.856,0.742,0.21,0.917,1.104,0.661,0.263,0.082
Coreia do Sul,Irã,40.618,24.495,34.887,5.857,7.624,5.295,2.513,0.942,8.483,11.216,7.628,3.763,1.335,6.361,8.462,5.812,2.762,0.963,3.161,4.254,2.873,1.41,0.473,1.298,1.714,1.265,0.568,0.177
Coreia do Sul,Nova Zelândia,50.329,24.215,25.456,6.825,7.235,3.894,1.439,0.47,10.728,11.265,6.071,2.33,0.629,8.583,9.035,4.939,1.906,0.564,4.848,5.252,2.784,1.043,0.3,2.146,2.153,1.226,0.457,0.13
Coreia do Sul,Espanha,6.398,11.676,81.926,2.743,7.507,10.876,10.699,7.942,1.923,5.423,7.604,7.439,5.658,0.665,1.994,2.772,2.74,1.99,0.172,0.454,0.684,0.622,0.483,0.036,0.096,0.138,0.13,0.106
Coreia do Sul,Uruguai,18.097,25.274,56.629,10.306,15.574,11.912,6.334,2.591,7.614,11.23,8.642,4.646,1.856,2.874,4.249,3.247,1.746,0.726,0.706,1.049,0.843,0.447,0.189,0.138,0.206,0.179,0.094,0.039
Coreia do Sul,Arábia Saudita,48.379,26.508,25.113,9.392,8.788,4.21,1.319,0.396,13.193,12.23,5.802,1.937,0.473,9.528,8.827,4.166,1.323,0.363,4.54,4.234,2.014,0.649,0.142,1.682,1.613,0.739,0.248,0.068
Coreia do Sul,Cabo Verde,57.156,22.73,20.114,6.68,6.36,2.953,1.014,0.242,11.504,10.585,5.009,1.708,0.443,10.055,9.5,4.466,1.502,0.315,6.314,5.843,2.765,0.876,0.217,2.899,2.599,1.259,0.411,0.108
Coreia do Sul,França,9.721,15.988,74.291,4.391,10.126,12.181,9.724,6.045,3.154,7.397,9.041,7.234,4.365,1.25,2.766,3.427,2.673,1.58,0.324,0.697,0.887,0.698,0.417,0.058,0.152,0.166,0.139,0.066
Coreia do Sul,Senegal,25.012,24.435,50.553,6.786,11.063,8.796,4.977,2.036,7.322,11.634,9.398,5.089,2.119,3.762,6.23,4.895,2.719,1.164,1.421,2.225,1.762,0.994,0.412,0.396,0.586,0.505,0.292,0.113
Coreia do Sul,Noruega,17.661,18.191,64.148,2.979,6.97,8.162,6.319,3.983,3.408,7.757,9.09,7.166,4.383,2.045,4.56,5.374,4.156,2.626,0.826,1.868,2.105,1.692,1.088,0.259,0.546,0.661,0.556,0.333
Coreia do Sul,Iraque,46.652,25.92,27.428,8.067,8.357,4.624,1.673,0.464,11.631,12.164,6.356,2.316,0.666,8.428,8.857,4.72,1.71,0.491,4.218,4.317,2.401,0.865,0.244,1.673,1.76,0.904,0.361,0.099
Coreia do Sul,Argentina,7.047,14.435,78.518,4.694,11.3,14.027,11.315,7.339,2.819,6.678,8.136,6.713,4.181,0.79,2.047,2.559,2.084,1.331,0.167,0.414,0.52,0.455,0.298,0.028,0.065,0.091,0.07,0.045
Coreia do Sul,Áustria,23.669,23.729,52.602,6.576,10.63,9.156,5.286,2.402,6.708,11.008,9.288,5.267,2.439,3.575,5.79,4.974,2.833,1.272,1.291,2.113,1.877,1.002,0.47,0.379,0.624,0.488,0.268,0.155
Coreia do Sul,Argélia,32.932,24.918,42.15,6.29,9.192,6.81,3.533,1.326,8.056,11.589,8.698,4.419,1.708,5.095,7.371,5.568,2.806,1.127,2.257,3.305,2.534,1.266,0.47,0.745,1.103,0.844,0.408,0.188
Coreia do Sul,Jordânia,45.995,23.09,30.915,4.588,6.186,4.147,2.018,0.699,7.778,10.565,7.269,3.286,1.177,6.665,9.014,6.051,2.915,1.058,3.867,5.255,3.605,1.592,0.607,1.698,2.321,1.627,0.741,0.271
Coreia do Sul,Portugal,12.956,17.12,69.924,3.711,8.489,10.003,8.052,5.079,3.346,7.786,9.248,7.333,4.622,1.584,3.677,4.351,3.557,2.112,0.499,1.146,1.409,1.077,0.712,0.11,0.248,0.356,0.283,0.18
Coreia do Sul,Colômbia,12.333,16.984,70.683,3.895,8.89,10.649,8.317,5.115,3.376,7.804,9.11,7.357,4.52,1.534,3.588,4.105,3.257,2.112,0.453,1.022,1.23,1.0,0.616,0.099,0.262,0.287,0.231,0.16
Coreia do Sul,Uzbequistão,35.697,28.598,35.705,10.984,11.889,6.632,2.578,0.808,11.802,12.821,7.242,2.838,0.85,6.663,7.256,4.147,1.514,0.454,2.496,2.794,1.611,0.598,0.174,0.8,0.818,0.547,0.186,0.045
Coreia do Sul,República Democrática do Congo,39.493,29.952,30.555,12.703,11.783,5.699,1.895,0.496,13.985,13.238,6.174,2.094,0.505,7.902,7.264,3.544,1.15,0.285,3.085,2.863,1.394,0.432,0.119,0.895,0.866,0.364,0.129,0.033
Coreia do Sul,Inglaterra,9.343,17.176,73.481,5.729,12.176,13.657,10.271,5.951,3.519,8.001,8.656,6.523,3.887,1.197,2.66,2.916,2.191,1.239,0.276,0.628,0.615,0.485,0.299,0.052,0.126,0.106,0.098,0.041
Coreia do Sul,Croácia,19.426,22.357,58.217,6.229,11.31,10.473,6.424,3.006,5.912,10.571,9.344,5.855,2.859,2.847,5.095,4.535,2.694,1.366,0.901,1.622,1.427,0.905,0.432,0.242,0.398,0.391,0.242,0.106
Coreia do Sul,Gana,53.216,22.673,24.111,5.317,6.025,3.349,1.399,0.42,9.37,10.404,6.011,2.36,0.713,8.611,9.357,5.488,2.14,0.655,5.278,5.748,3.323,1.253,0.368,2.36,2.812,1.518,0.594,0.195
Coreia do Sul,Panamá,45.069,23.452,31.479,4.954,6.692,4.406,2.094,0.765,8.149,10.701,7.25,3.371,1.193,6.678,8.927,6.016,2.763,0.996,3.884,5.036,3.411,1.536,0.535,1.549,2.172,1.464,0.661,0.229
África do Sul,Canadá,23.178,25.754,51.068,9.007,13.038,9.995,5.157,2.054,7.988,11.9,8.943,4.618,1.872,3.804,5.631,4.099,2.104,0.837,1.159,1.78,1.339,0.685,0.24,0.274,0.435,0.315,0.155,0.056
África do Sul,Suíça,12.816,18.733,68.451,5.228,10.76,11.537,8.405,4.909,4.042,8.751,9.241,6.821,4.002,1.717,3.553,3.856,2.884,1.604,0.476,0.982,1.066,0.785,0.471,0.1,0.259,0.246,0.179,0.104
África do Sul,Catar,48.047,24.497,27.456,6.283,7.247,4.206,1.696,0.501,10.103,11.643,6.495,2.611,0.79,8.092,9.229,5.256,2.127,0.658,4.475,5.013,2.827,1.17,0.342,1.81,2.064,1.212,0.507,0.131
África do Sul,Bósnia e Herzegovina,39.99,27.2,32.81,9.128,9.98,5.682,2.28,0.669,11.435,12.716,7.113,2.885,0.826,7.204,8.134,4.451,1.817,0.535,3.166,3.507,2.054,0.815,0.258,1.064,1.224,0.68,0.271,0.085
África do Sul,Brasil,7.958,15.276,76.766,5.137,11.871,13.879,10.898,6.809,3.132,7.081,8.43,6.477,4.043,0.992,2.19,2.543,2.142,1.35,0.215,0.486,0.594,0.463,0.273,0.039,0.085,0.087,0.077,0.047
África do Sul,Marrocos,8.355,20.022,71.623,9.884,18.241,16.712,10.504,5.089,4.531,8.222,7.535,4.882,2.283,1.033,1.912,1.718,1.113,0.531,0.149,0.304,0.291,0.179,0.087,0.021,0.038,0.037,0.021,0.019
África do Sul,Escócia,21.878,23.849,54.273,7.255,11.273,9.711,5.744,2.53,6.793,11.112,9.397,5.504,2.416,3.408,5.376,4.506,2.615,1.211,1.101,1.923,1.529,0.867,0.405,0.238,0.45,0.379,0.25,0.101
África do Sul,Haiti,52.005,24.252,23.743,7.069,6.988,3.647,1.301,0.315,11.276,11.294,5.782,2.203,0.55,9.222,9.202,4.782,1.781,0.443,5.155,5.22,2.792,0.995,0.274,2.134,2.396,1.116,0.397,0.105
África do Sul,EUA,23.145,23.895,52.96,6.839,11.044,9.262,5.343,2.331,6.791,11.119,9.301,5.479,2.375,3.552,5.82,4.905,2.794,1.247,1.231,2.005,1.663,0.918,0.448,0.341,0.597,0.472,0.251,0.107
África do Sul,Austrália,15.455,22.883,61.662,8.466,14.415,12.654,7.44,3.432,6.1,10.462,8.894,5.44,2.478,2.331,3.944,3.39,2.031,0.877,0.554,0.969,0.844,0.516,0.229,0.109,0.217,0.163,0.09,0.044
África do Sul,Paraguai,21.101,27.226,51.673,11.939,15.928,10.982,5.199,1.942,9.12,11.634,8.229,3.937,1.488,3.509,4.611,3.255,1.527,0.563,0.97,1.228,0.815,0.374,0.145,0.177,0.284,0.164,0.074,0.024
África do Sul,Turquia,21.984,22.85,55.166,6.013,10.703,9.37,5.779,2.617,6.177,10.658,9.51,5.8,2.591,3.264,5.446,4.927,2.884,1.346,1.191,1.935,1.785,1.089,0.466,0.342,0.541,0.502,0.288,0.151
África do Sul,Alemanha,7.125,13.013,79.862,3.287,8.517,11.44,10.514,7.448,2.251,6.001,8.151,7.464,5.254,0.816,2.145,2.925,2.678,1.838,0.191,0.514,0.705,0.69,0.425,0.043,0.087,0.151,0.121,0.097
África do Sul,Equador,13.49,27.306,59.204,15.091,20.422,14.578,6.937,2.616,7.601,10.26,7.031,3.352,1.309,2.02,2.573,1.797,0.885,0.3,0.338,0.433,0.328,0.148,0.056,0.039,0.062,0.041,0.022,0.009
África do Sul,Costa do Marfim,31.807,29.383,38.81,11.958,13.314,7.601,2.964,0.915,11.792,13.12,7.445,2.921,0.858,5.906,6.462,3.725,1.543,0.416,2.039,2.257,1.337,0.545,0.145,0.523,0.547,0.322,0.127,0.032
